"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,6925,22-11-2018 01:06:pm,05-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/124082,https://bidplus.gem.gov.in/showbidDocument/891759,891759
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,8000,22-11-2018 01:41:pm,05-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/124117,https://bidplus.gem.gov.in/showbidDocument/892039,892039
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,500,21-11-2018 02:34:pm,04-12-2018 12:00:pm,Technical Evaluation,GEM/2018/B/123805,https://bidplus.gem.gov.in/showbidDocument/889603,889603
"Ministry Of Railways
Na
East Central Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,4500,22-11-2018 11:20:am,04-12-2018 10:00:am,Bid Award,GEM/2018/B/122295,https://bidplus.gem.gov.in/showbidDocument/877983,877983
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1200,23-11-2018 03:31:pm,03-12-2018 06:00:pm,Bid Award,GEM/2018/B/124737,https://bidplus.gem.gov.in/showbidDocument/896820,896820
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",Power Cable For Direct Burial Xlpe Ugac Cable,500,22-11-2018 10:56:am,03-12-2018 03:00:pm,Bid Award,GEM/2018/B/123316,https://bidplus.gem.gov.in/showbidDocument/885788,885788
"Ministry Of Power
Na
Bengaluru Central Power Research Institute (cpri) Bangalore Karnataka",Power Cable For Direct Burial Xlpe Ugac Cable,130,20-11-2018 11:40:am,03-12-2018 02:00:pm,Technical Evaluation,GEM/2018/B/121214,https://bidplus.gem.gov.in/showbidDocument/869744,869744
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,500,21-11-2018 02:16:pm,03-12-2018 12:00:pm,Technical Evaluation,GEM/2018/B/123796,https://bidplus.gem.gov.in/showbidDocument/889540,889540
"Ministry Of Railways
Northern Railway
Northern Railway Stores",Power Cable For Direct Burial Xlpe Ugac Cable,19500,22-11-2018 05:06:pm,03-12-2018 12:00:pm,Bid Award,GEM/2018/B/124342,https://bidplus.gem.gov.in/showbidDocument/893824,893824
"Ministry Of Defence
Department Of Defence
Military Engineer Services Cwe Dinjan N/a",Power Cable For Direct Burial Xlpe Ugac Cable,500,22-11-2018 04:38:pm,03-12-2018 11:00:am,Bid Award,GEM/2018/B/124324,https://bidplus.gem.gov.in/showbidDocument/893677,893677
